# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000065000,1,6,5,180,0,1440.00,0.00
2000065000,1,6,6,12576,720,100608.00,5760.00
2000066000,1,6,1,180,1048,1440.00,8384.00
2000066000,1,6,2,180,0,1440.00,0.00
2000066000,1,6,3,120,0,960.00,0.00
2000066000,1,6,4,120,0,960.00,0.00
2000066000,1,6,5,120,0,960.00,0.00
2000066000,1,6,6,12576,720,100608.00,5760.00
2000067000,1,6,1,120,0,960.00,0.00
2000067000,1,6,2,120,0,960.00,0.00
2000067000,1,6,3,180,0,1440.00,0.00
2000067000,1,6,4,180,0,1440.00,0.00
2000067000,1,6,5,180,0,1440.00,0.00
2000067000,1,6,6,12576,780,100608.00,6240.00
2000068000,1,6,1,180,0,1440.00,0.00
2000068000,1,6,2,180,0,1440.00,0.00
2000068000,1,6,3,120,0,960.00,0.00
2000068000,1,6,4,120,0,960.00,0.00
2000068000,1,6,5,120,0,960.00,0.00
2000068000,1,6,6,12576,720,100608.00,5760.00
2000069000,1,6,1,120,0,960.00,0.00
2000069000,1,6,2,120,0,960.00,0.00
2000069000,1,6,3,180,0,1440.00,0.00
2000069000,1,6,4,180,0,1440.00,0.00
2000069000,1,6,5,120,0,960.00,0.00
2000069000,1,6,6,12576,720,100608.00,5760.00
2000070000,1,6,1,180,0,1440.00,0.00
2000070000,1,6,2,120,0,960.00,0.00
2000070000,1,6,3,120,0,960.00,0.00
2000070000,1,6,4,120,0,960.00,0.00
2000070000,1,6,5,180,0,1440.00,0.00
2000070000,1,6,6,12576,720,100608.00,5760.00
2000071000,1,6,1,120,0,960.00,0.00
2000071000,1,6,2,180,0,1440.00,0.00
2000071000,1,6,3,180,0,1440.00,0.00
2000071000,1,6,4,120,0,960.00,0.00
2000071000,1,6,5,120,0,960.00,0.00
2000071000,1,6,6,12576,720,100608.00,5760.00
2000072000,1,6,1,120,0,960.00,0.00
2000072000,1,6,2,120,0,960.00,0.00
2000072000,1,6,3,120,0,960.00,0.00
2000072000,1,6,4,180,0,1440.00,0.00
2000072000,1,6,5,180,0,1440.00,0.00
2000072000,1,6,6,12576,720,100608.00,5760.00
2000073000,1,6,1,180,0,1440.00,0.00
2000073000,1,6,2,180,0,1440.00,0.00
2000073000,1,6,3,120,0,960.00,0.00
2000073000,1,6,4,120,0,960.00,0.00
2000073000,1,6,5,120,0,960.00,0.00
2000073000,1,6,6,12576,720,100608.00,5760.00
2000074000,1,6,1,120,0,960.00,0.00
2000074000,1,6,2,120,0,960.00,0.00
2000074000,1,6,3,180,0,1440.00,0.00
2000074000,1,6,4,180,0,1440.00,0.00
2000074000,1,6,5,120,0,960.00,0.00
2000074000,1,6,6,12576,720,100608.00,5760.00
2000075000,1,6,1,180,0,1440.00,0.00
2000075000,1,6,2,120,0,960.00,0.00
2000075000,1,6,3,120,0,960.00,0.00
2000075000,1,6,4,120,0,960.00,0.00
2000075000,1,6,5,180,0,1440.00,0.00
2000075000,1,6,6,12576,720,100608.00,5760.00
2000076000,1,6,1,120,0,960.00,0.00
2000076000,1,6,2,180,0,1440.00,0.00
2000076000,1,6,3,180,0,1440.00,0.00
2000076000,1,6,4,120,0,960.00,0.00
2000076000,1,6,5,120,0,960.00,0.00
2000076000,1,6,6,12576,720,100608.00,5760.00
2000077000,1,6,1,120,0,960.00,0.00
2000077000,1,6,2,120,0,960.00,0.00
2000077000,1,6,3,120,0,960.00,0.00
2000077000,1,6,4,180,0,1440.00,0.00
2000077000,1,6,5,180,0,1440.00,0.00
2000077000,1,6,6,12576,720,100608.00,5760.00
2000078000,1,6,1,180,0,1440.00,0.00
2000078000,1,6,2,180,0,1440.00,0.00
2000078000,1,6,3,120,0,960.00,0.00
2000078000,1,6,4,120,0,960.00,0.00
2000078000,1,6,5,120,0,960.00,0.00
2000078000,1,6,6,12576,720,100608.00,5760.00
2000079000,1,6,1,120,0,960.00,0.00
2000079000,1,6,2,120,0,960.00,0.00
2000079000,1,6,3,180,0,1440.00,0.00
2000079000,1,6,4,180,0,1440.00,0.00
2000079000,1,6,5,120,0,960.00,0.00
2000079000,1,6,6,12576,720,100608.00,5760.00
2000080000,1,6,1,180,0,1440.00,0.00
2000080000,1,6,2,120,0,960.00,0.00
2000080000,1,6,3,120,0,960.00,0.00
2000080000,1,6,4,120,0,960.00,0.00
2000080000,1,6,5,180,0,1440.00,0.00
2000080000,1,6,6,12576,720,100608.00,5760.00
2000081000,1,6,1,120,0,960.00,0.00
2000081000,1,6,2,180,0,1440.00,0.00
2000081000,1,6,3,180,0,1440.00,0.00
2000081000,1,6,4,120,0,960.00,0.00
2000081000,1,6,5,120,0,960.00,0.00
2000081000,1,6,6,12576,720,100608.00,5760.00
2000082000,1,6,1,120,0,960.00,0.00
2000082000,1,6,2,120,0,960.00,0.00
2000082000,1,6,3,120,0,960.00,0.00
2000082000,1,6,4,180,0,1440.00,0.00
2000082000,1,6,5,180,0,1440.00,0.00
2000082000,1,6,6,12576,720,100608.00,5760.00
2000083000,1,6,1,180,0,1440.00,0.00
2000083000,1,6,2,180,0,1440.00,0.00
2000083000,1,6,3,120,0,960.00,0.00
2000083000,1,6,4,120,0,960.00,0.00
2000083000,1,6,5,120,0,960.00,0.00
2000083000,1,6,6,12576,720,100608.00,5760.00
2000084000,1,6,1,120,0,960.00,0.00
2000084000,1,6,2,120,0,960.00,0.00
2000084000,1,6,3,180,0,1440.00,0.00
2000084000,1,6,4,180,0,1440.00,0.00
2000084000,1,6,5,120,0,960.00,0.00
2000084000,1,6,6,12576,720,100608.00,5760.00
2000085000,1,6,1,180,0,1440.00,0.00
2000085000,1,6,2,120,0,960.00,0.00
2000085000,1,6,3,120,0,960.00,0.00
2000085000,1,6,4,120,0,960.00,0.00
2000085000,1,6,5,180,0,1440.00,0.00
2000085000,1,6,6,13624,720,108992.00,5760.00
2000086000,1,6,1,120,0,960.00,0.00
2000086000,1,6,2,180,0,1440.00,0.00
2000086000,1,6,3,180,0,1440.00,0.00
2000086000,1,6,4,120,0,960.00,0.00
2000086000,1,6,5,120,0,960.00,0.00
2000086000,1,6,6,12576,720,100608.00,5760.00
2000087000,1,6,1,180,0,1440.00,0.00
2000087000,1,6,2,60,0,480.00,0.00
2000087000,1,6,3,120,0,960.00,0.00
2000087000,1,6,4,240,0,1920.00,0.00
2000087000,1,6,5,180,0,1440.00,0.00
2000087000,1,6,6,12576,780,100608.00,6240.00
2000088000,1,6,1,300,0,2400.00,0.00
2000088000,1,6,2,120,0,960.00,0.00
2000088000,1,6,3,120,0,960.00,0.00
2000088000,1,6,4,60,0,480.00,0.00
2000088000,1,6,5,120,0,960.00,0.00
2000088000,1,6,6,12576,720,100608.00,5760.00
2000089000,1,6,1,660,0,5280.00,0.00
2000089000,1,6,2,60,0,480.00,0.00
2000089000,1,6,6,12576,720,100608.00,5760.00
2000090000,1,6,1,720,0,5760.00,0.00
2000090000,1,6,6,12576,720,100608.00,5760.00
2000091000,1,6,1,720,0,5760.00,0.00
2000091000,1,6,6,12576,720,100608.00,5760.00
2000092000,1,6,1,720,0,5760.00,0.00
2000092000,1,6,6,5240,720,41920.00,5760.00
2000093000,1,6,1,720,0,5760.00,0.00
2000093000,1,6,6,0,720,0.00,5760.00
2000094000,1,6,1,360,0,2880.00,0.00
2000094000,1,6,6,0,360,0.00,2880.00
2000102000,1,6,2,0,12576,0.00,100608.00
2000102000,1,6,3,0,12576,0.00,100608.00
2000102000,1,6,4,0,12576,0.00,100608.00
2000102000,1,6,5,0,12576,0.00,100608.00
2000102000,1,6,6,12576,0,100608.00,0.00
2000103000,1,6,2,0,12576,0.00,100608.00
2000103000,1,6,3,0,12576,0.00,100608.00
2000103000,1,6,4,0,12576,0.00,100608.00
2000103000,1,6,5,0,12576,0.00,100608.00
2000103000,1,6,6,12576,0,100608.00,0.00
2000104000,1,6,2,180,12576,1440.00,100608.00
2000104000,1,6,3,180,12576,1440.00,100608.00
2000104000,1,6,4,180,12576,1440.00,100608.00
2000104000,1,6,5,120,12576,960.00,100608.00
2000104000,1,6,6,12576,660,100608.00,5280.00
2000105000,1,6,2,180,12576,1440.00,100608.00
2000105000,1,6,3,180,12576,1440.00,100608.00
2000105000,1,6,4,180,12576,1440.00,100608.00
2000105000,1,6,5,180,12576,1440.00,100608.00
2000105000,1,6,6,12576,720,100608.00,5760.00
2000106000,1,6,2,180,12576,1440.00,100608.00
2000106000,1,6,3,180,12576,1440.00,100608.00
2000106000,1,6,4,180,12576,1440.00,100608.00
2000106000,1,6,5,180,12576,1440.00,100608.00
2000106000,1,6,6,12576,720,100608.00,5760.00
2000107000,1,6,2,180,12576,1440.00,100608.00
2000107000,1,6,3,180,12576,1440.00,100608.00
2000107000,1,6,4,180,12576,1440.00,100608.00
2000107000,1,6,5,180,12576,1440.00,100608.00
2000107000,1,6,6,12576,720,100608.00,5760.00
2000108000,1,6,2,180,12576,1440.00,100608.00
2000108000,1,6,3,180,12576,1440.00,100608.00
2000108000,1,6,4,180,12576,1440.00,100608.00
2000108000,1,6,5,180,12576,1440.00,100608.00
2000108000,1,6,6,12576,720,100608.00,5760.00
2000109000,1,6,2,180,12576,1440.00,100608.00
2000109000,1,6,3,180,12576,1440.00,100608.00
2000109000,1,6,4,180,12576,1440.00,100608.00
2000109000,1,6,5,180,12576,1440.00,100608.00
2000109000,1,6,6,12576,720,100608.00,5760.00
2000110000,1,6,2,180,12576,1440.00,100608.00
2000110000,1,6,3,180,12576,1440.00,100608.00
2000110000,1,6,4,180,12576,1440.00,100608.00
2000110000,1,6,5,180,12576,1440.00,100608.00
2000110000,1,6,6,12576,720,100608.00,5760.00
2000111000,1,6,2,180,12576,1440.00,100608.00
2000111000,1,6,3,180,12576,1440.00,100608.00
2000111000,1,6,4,180,12576,1440.00,100608.00
2000111000,1,6,5,180,12576,1440.00,100608.00
2000111000,1,6,6,12576,720,100608.00,5760.00
2000112000,1,6,2,180,12576,1440.00,100608.00
2000112000,1,6,3,180,12576,1440.00,100608.00
2000112000,1,6,4,180,12576,1440.00,100608.00
2000112000,1,6,5,180,12576,1440.00,100608.00
2000112000,1,6,6,12576,720,100608.00,5760.00
2000113000,1,6,2,180,12576,1440.00,100608.00
2000113000,1,6,3,180,12576,1440.00,100608.00
2000113000,1,6,4,180,12576,1440.00,100608.00
2000113000,1,6,5,180,12576,1440.00,100608.00
2000113000,1,6,6,12576,720,100608.00,5760.00
2000114000,1,6,2,180,12576,1440.00,100608.00
2000114000,1,6,3,180,12576,1440.00,100608.00
2000114000,1,6,4,180,12576,1440.00,100608.00
2000114000,1,6,5,180,12576,1440.00,100608.00
2000114000,1,6,6,12576,720,100608.00,5760.00
2000115000,1,6,2,180,8384,1440.00,67072.00
