# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000207000,1,2,2,19008,1080,50688.00,2880.00
2000210000,1,2,1,1080,0,2880.00,0.00
2000210000,1,2,2,19008,1080,50688.00,2880.00
2000213000,1,2,1,1080,0,2880.00,0.00
2000213000,1,2,2,19008,1080,50688.00,2880.00
2000216000,1,2,1,1080,0,2880.00,0.00
2000216000,1,2,2,19008,1080,50688.00,2880.00
2000219000,1,2,1,1080,0,2880.00,0.00
2000219000,1,2,2,19008,1080,50688.00,2880.00
2000222000,1,2,1,1080,1056,2880.00,2816.00
2000222000,1,2,2,17952,1080,47872.00,2880.00
2000225000,1,2,1,1020,0,2720.00,0.00
2000225000,1,2,2,6336,1020,16896.00,2720.00
2000228000,1,2,1,60,0,160.00,0.00
2000228000,1,2,2,0,60,0.00,160.00
2000306000,1,2,1,0,1056,0.00,2816.00
2000306000,1,2,2,1056,0,2816.00,0.00
2000309000,1,2,1,60,0,160.00,0.00
2000309000,1,2,2,0,60,0.00,160.00
2000393000,1,2,1,60,1056,160.00,2816.00
2000393000,1,2,2,1056,60,2816.00,160.00
2000453000,1,2,1,60,1056,160.00,2816.00
2000453000,1,2,2,1056,60,2816.00,160.00
2000498000,1,2,1,0,1056,0.00,2816.00
2000498000,1,2,2,1056,0,2816.00,0.00
2000501000,1,2,1,60,0,160.00,0.00
2000501000,1,2,2,0,60,0.00,160.00
2000537000,1,2,1,0,1056,0.00,2816.00
2000537000,1,2,2,1056,0,2816.00,0.00
2000540000,1,2,1,60,0,160.00,0.00
2000540000,1,2,2,0,60,0.00,160.00
2000570000,1,2,1,0,1056,0.00,2816.00
2000570000,1,2,2,1056,0,2816.00,0.00
2000573000,1,2,1,60,0,160.00,0.00
2000573000,1,2,2,0,60,0.00,160.00
2000597000,1,2,1,0,1056,0.00,2816.00
2000597000,1,2,2,1056,0,2816.00,0.00
2000600000,1,2,1,60,0,160.00,0.00
2000600000,1,2,2,0,60,0.00,160.00
2000618000,1,2,1,0,1056,0.00,2816.00
2000618000,1,2,2,1056,0,2816.00,0.00
2000621000,1,2,1,60,0,160.00,0.00
2000621000,1,2,2,0,60,0.00,160.00
2000636000,1,2,1,0,1056,0.00,2816.00
2000636000,1,2,2,1056,0,2816.00,0.00
2000639000,1,2,1,60,0,160.00,0.00
2000639000,1,2,2,0,60,0.00,160.00
2000651000,1,2,1,60,1056,160.00,2816.00
2000651000,1,2,2,1056,60,2816.00,160.00
2000663000,1,2,1,60,1056,160.00,2816.00
2000663000,1,2,2,1056,60,2816.00,160.00
2000672000,1,2,1,0,1056,0.00,2816.00
2000672000,1,2,2,1056,0,2816.00,0.00
2000675000,1,2,1,60,0,160.00,0.00
2000675000,1,2,2,0,60,0.00,160.00
2000681000,1,2,1,0,1056,0.00,2816.00
2000681000,1,2,2,1056,0,2816.00,0.00
2000684000,1,2,1,60,0,160.00,0.00
2000684000,1,2,2,0,60,0.00,160.00
2000690000,1,2,1,0,1056,0.00,2816.00
2000690000,1,2,2,1056,0,2816.00,0.00
2000693000,1,2,1,60,0,160.00,0.00
2000693000,1,2,2,0,60,0.00,160.00
2000699000,1,2,1,60,1056,160.00,2816.00
2000699000,1,2,2,1056,60,2816.00,160.00
2000705000,1,2,1,0,1056,0.00,2816.00
2000705000,1,2,2,1056,0,2816.00,0.00
2000708000,1,2,1,60,0,160.00,0.00
2000708000,1,2,2,0,60,0.00,160.00
2000711000,1,2,1,0,1056,0.00,2816.00
2000711000,1,2,2,1056,0,2816.00,0.00
2000714000,1,2,1,60,0,160.00,0.00
2000714000,1,2,2,0,60,0.00,160.00
2000717000,1,2,1,0,1056,0.00,2816.00
2000717000,1,2,2,1056,0,2816.00,0.00
2000720000,1,2,1,60,0,160.00,0.00
2000720000,1,2,2,0,60,0.00,160.00
2000723000,1,2,1,0,1056,0.00,2816.00
2000723000,1,2,2,1056,0,2816.00,0.00
2000726000,1,2,1,60,0,160.00,0.00
2000726000,1,2,2,0,60,0.00,160.00
2000729000,1,2,1,0,1056,0.00,2816.00
2000729000,1,2,2,1056,0,2816.00,0.00
2000732000,1,2,1,60,0,160.00,0.00
2000732000,1,2,2,0,60,0.00,160.00
2000735000,1,2,1,60,1056,160.00,2816.00
2000735000,1,2,2,1056,60,2816.00,160.00
2000738000,1,2,1,0,1056,0.00,2816.00
2000738000,1,2,2,1056,0,2816.00,0.00
2000741000,1,2,1,60,0,160.00,0.00
2000741000,1,2,2,0,60,0.00,160.00
2000744000,1,2,1,60,1056,160.00,2816.00
2000744000,1,2,2,1056,60,2816.00,160.00
2000747000,1,2,1,0,1056,0.00,2816.00
2000747000,1,2,2,1056,0,2816.00,0.00
2000750000,1,2,1,60,1056,160.00,2816.00
2000750000,1,2,2,1056,60,2816.00,160.00
2000753000,1,2,1,60,0,160.00,0.00
2000753000,1,2,2,0,60,0.00,160.00
2000756000,1,2,1,60,1056,160.00,2816.00
2000756000,1,2,2,1056,60,2816.00,160.00
2000759000,1,2,1,0,1056,0.00,2816.00
2000759000,1,2,2,1056,0,2816.00,0.00
2000762000,1,2,1,60,1056,160.00,2816.00
2000762000,1,2,2,1056,60,2816.00,160.00
2000765000,1,2,1,60,0,160.00,0.00
2000765000,1,2,2,0,60,0.00,160.00
2000768000,1,2,1,60,1056,160.00,2816.00
2000768000,1,2,2,1056,60,2816.00,160.00
2000771000,1,2,1,0,1056,0.00,2816.00
2000771000,1,2,2,1056,0,2816.00,0.00
2000774000,1,2,1,60,1056,160.00,2816.00
2000774000,1,2,2,1056,60,2816.00,160.00
2000777000,1,2,1,60,1056,160.00,2816.00
2000777000,1,2,2,1056,60,2816.00,160.00
2000780000,1,2,1,60,1056,160.00,2816.00
2000780000,1,2,2,1056,60,2816.00,160.00
2000783000,1,2,1,60,0,160.00,0.00
2000783000,1,2,2,0,60,0.00,160.00
2000786000,1,2,1,60,1056,160.00,2816.00
2000786000,1,2,2,1056,60,2816.00,160.00
2000789000,1,2,1,60,1056,160.00,2816.00
2000789000,1,2,2,1056,60,2816.00,160.00
2000792000,1,2,1,60,1056,160.00,2816.00
2000792000,1,2,2,1056,60,2816.00,160.00
2000795000,1,2,1,0,1056,0.00,2816.00
2000795000,1,2,2,1056,0,2816.00,0.00
2000798000,1,2,1,60,1056,160.00,2816.00
2000798000,1,2,2,1056,60,2816.00,160.00
2000801000,1,2,1,60,1056,160.00,2816.00
2000801000,1,2,2,1056,60,2816.00,160.00
2000804000,1,2,1,60,1056,160.00,2816.00
2000804000,1,2,2,1056,60,2816.00,160.00
2000807000,1,2,1,60,1056,160.00,2816.00
2000807000,1,2,2,1056,60,2816.00,160.00
2000810000,1,2,1,60,1056,160.00,2816.00
2000810000,1,2,2,1056,60,2816.00,160.00
2000813000,1,2,1,60,1056,160.00,2816.00
2000813000,1,2,2,1056,60,2816.00,160.00
2000816000,1,2,1,60,1056,160.00,2816.00
2000816000,1,2,2,1056,60,2816.00,160.00
2000819000,1,2,1,120,1056,320.00,2816.00
2000819000,1,2,2,1056,120,2816.00,320.00
2000822000,1,2,1,60,1056,160.00,2816.00
2000822000,1,2,2,1056,60,2816.00,160.00
2000825000,1,2,1,60,2112,160.00,5632.00
2000825000,1,2,2,2112,60,5632.00,160.00
2000828000,1,2,1,60,1056,160.00,2816.00
2000828000,1,2,2,1056,60,2816.00,160.00
2000831000,1,2,1,60,1056,160.00,2816.00
2000831000,1,2,2,1056,60,2816.00,160.00
2000834000,1,2,1,60,1056,160.00,2816.00
2000834000,1,2,2,1056,60,2816.00,160.00
2000837000,1,2,1,60,1056,160.00,2816.00
2000837000,1,2,2,1056,60,2816.00,160.00
2000840000,1,2,1,120,2112,320.00,5632.00
2000840000,1,2,2,2112,120,5632.00,320.00
2000843000,1,2,1,60,1056,160.00,2816.00
